jobNumber,nx,ny,executionTime(ms),exception
0,5,5,143,
1,5,6,21,
2,5,7,122,
3,5,8,124,
4,5,9,121,
5,5,10,125,
6,5,11,121,
7,5,12,25,
8,5,13,19,
9,5,14,123,
10,5,15,22,
11,5,16,20,
12,5,17,17,
13,5,18,15,
14,5,19,21,
15,5,20,13,
16,6,5,142,
17,6,6,30,
18,6,7,125,
19,6,8,24,
20,6,9,20,
21,6,10,126,
22,6,11,25,
23,6,12,119,
24,6,13,119,
25,6,14,30,
26,6,15,23,
27,6,16,16,
28,6,17,18,
29,6,18,25,
30,6,19,23,
31,6,20,15,
32,7,5,144,
33,7,6,132,
34,7,7,129,
35,7,8,26,
36,7,9,27,
37,7,10,126,
38,7,11,19,
39,7,12,22,
40,7,13,26,
41,7,14,14,
42,7,15,16,
43,7,16,24,
44,7,17,25,
45,7,18,16,
46,7,19,18,
47,7,20,16,
48,8,5,142,
49,8,6,120,
50,8,7,139,
51,8,8,122,
52,8,9,22,
53,8,10,127,
54,8,11,21,
55,8,12,14,
56,8,13,17,
57,8,14,22,
58,8,15,16,
59,8,16,28,
60,8,17,26,
61,8,18,16,
62,8,19,13,
63,8,20,15,
64,9,5,138,
65,9,6,121,
66,9,7,125,
67,9,8,21,
68,9,9,23,
69,9,10,121,
70,9,11,20,
71,9,12,16,
72,9,13,14,
73,9,14,28,
74,9,15,20,
75,9,16,18,
76,9,17,22,
77,9,18,17,
78,9,19,18,
79,9,20,18,
80,10,5,142,
81,10,6,119,
82,10,7,125,
83,10,8,23,
84,10,9,23,
85,10,10,127,
86,10,11,31,
87,10,12,21,
88,10,13,25,
89,10,14,24,
90,10,15,19,
91,10,16,19,
92,10,17,17,
93,10,18,16,
94,10,19,17,
95,10,20,21,
96,11,5,127,
97,11,6,123,
98,11,7,121,
99,11,8,21,
100,11,9,21,
101,11,10,124,
102,11,11,21,
103,11,12,16,
104,11,13,20,
105,11,14,19,
106,11,15,39,
107,11,16,17,
108,11,17,19,
109,11,18,24,
110,11,19,27,
111,11,20,17,
112,12,5,140,
113,12,6,124,
114,12,7,125,
115,12,8,21,
116,12,9,23,
117,12,10,120,
118,12,11,18,
119,12,12,14,
120,12,13,14,
121,12,14,13,
122,12,15,14,
123,12,16,17,
124,12,17,22,
125,12,18,14,
126,12,19,16,
127,12,20,24,
128,13,5,137,
129,13,6,15,
130,13,7,120,
131,13,8,23,
132,13,9,15,
133,13,10,123,
134,13,11,17,
135,13,12,21,
136,13,13,21,
137,13,14,17,
138,13,15,20,
139,13,16,16,
140,13,17,18,
141,13,18,19,
142,13,19,19,
143,13,20,20,
144,14,5,138,
145,14,6,126,
146,14,7,127,
147,14,8,22,
148,14,9,22,
149,14,10,124,
150,14,11,24,
151,14,12,21,
152,14,13,18,
153,14,14,16,
154,14,15,32,
155,14,16,21,
156,14,17,20,
157,14,18,30,
158,14,19,21,
159,14,20,23,
160,15,5,141,
161,15,6,23,
162,15,7,116,
163,15,8,27,
164,15,9,21,
165,15,10,117,
166,15,11,21,
167,15,12,18,
168,15,13,18,
169,15,14,16,
170,15,15,20,
171,15,16,20,
172,15,17,18,
173,15,18,13,
174,15,19,14,
175,15,20,14,
176,16,5,136,
177,16,6,16,
178,16,7,126,
179,16,8,24,
180,16,9,17,
181,16,10,120,
182,16,11,20,
183,16,12,24,
184,16,13,23,
185,16,14,15,
186,16,15,18,
187,16,16,16,
188,16,17,14,
189,16,18,14,
190,16,19,16,
191,16,20,25,
192,17,5,141,
193,17,6,24,
194,17,7,119,
195,17,8,48,
196,17,9,19,
197,17,10,130,
198,17,11,21,
199,17,12,19,
200,17,13,16,
201,17,14,28,
202,17,15,16,
203,17,16,21,
204,17,17,20,
205,17,18,15,
206,17,19,17,
207,17,20,18,
208,18,5,137,
209,18,6,18,
210,18,7,116,
211,18,8,20,
212,18,9,23,
213,18,10,120,
214,18,11,26,
215,18,12,15,
216,18,13,17,
217,18,14,16,
218,18,15,15,
219,18,16,21,
220,18,17,15,
221,18,18,20,
222,18,19,17,
223,18,20,26,
224,19,5,142,
225,19,6,23,
226,19,7,120,
227,19,8,21,
228,19,9,13,
229,19,10,117,
230,19,11,24,
231,19,12,16,
232,19,13,26,
233,19,14,16,
234,19,15,20,
235,19,16,17,
236,19,17,21,
237,19,18,23,
238,19,19,17,
239,19,20,21,
240,20,5,137,
241,20,6,19,
242,20,7,118,
243,20,8,20,
244,20,9,17,
245,20,10,122,
246,20,11,26,
247,20,12,16,
248,20,13,19,
249,20,14,15,
250,20,15,22,
251,20,16,14,
252,20,17,17,
253,20,18,29,
254,20,19,13,
255,20,20,17,
jobNumber,resourceURI,executionTime(ms),exception
jobNumber,resourceURI,executionTime(ms),exception
